NO;BUYER;CONTRACT NO;LOT;PO NO / L/C NO;BOOKING NO;B/L NO;COMMODITY;QTY;VOL;POL;POD;INCOTERMS;PAYMENT TERM; UNIT PRICE ; AMOUNT ; DISCOUNT AMOUNT ;BANK;"NGŔY TRĚNH
72;CEAT;01/PD-CP/2025;;4100058560;7264979760;GLX251210;TSR20;113,4;5;DAD;NHAVA;FOB;LC upas 180 ngŕy; 1.750,00 ; 198.450,00 ; 178.605,00 ; TP ;28/12/2025;28/12/2025;26/12/2025;11 2074 5640;16/01/2026;;;;;;;;;;;;;
73;ATC;LTC2024/PD-ATC-AP/NOV;2;5200006885;238500198552;TM225121160N;GRADE 10;120,96;6;DAD;GANGAVARAM ;FOB;DP; 2.009,27 ; 243.041,30 ; 218.737,17 ; TP ;05/01/2026;26/12/2025;31/12/2025;11 2075 0562;26/01/2026;;;;;;;;;;;;;
74;ATC;LTC2024/PD-ATC-AP/NOV;3;5200006885;DADF13179800;GLX251211;GRADE 10;120,96;6;DAD;VISAKHAPATNAM;FOB;DP; 2.009,27 ; 243.041,30 ; 218.737,17 ; TP ;07/01/2026;29/12/2025;04/01/2026;42 1870 7032;21/01/2026;;;;;;;;;;;;;
75;GRI;06/PD-GRI/2025;1;OB6094LC2515491;BC8QC25000420;C8QCB25000420;SVR10  ;42;2;RCL;COLOMBO;CIF;LC 90 ngŕy; 1.885,00 ; 79.170,00 ;71253; VIETTIN ;05/01/2026;05/01/2026;30/12/2025; 33 4010 4574;30/03/2026;;;;;;;;;;;;;
76;JK ;LTC2025/PD-JK/NOV;1;4100013236;DADF12284400;AP-26EX0068;SVR10  ;100,8;5;DAD;NHAVA;FOB;DP; 1.710,00 ; 172.368,00 ;155131,2; TP ;06/01/2026;29/12/2025;04/01/2026;18 8770 6380;22/01/2026;;;;;;;;;;;;;
77;JK;LTC2025/PD-JK/NOV;2;4100013238;DADF13306700;AP-26EX0069;SVR10  ;141,12;7;DAD;CHENNAI;FOB;DP; 1.710,00 ; 241.315,20 ;217183,68; TP ;19/01/2026;30/12/2025;15/01/2026;53 3583 8944;03/02/2026;;;;;;;;;;;;;
78;INDO ;15/PD-AIC/2025/CI;-;-;HASLS21251202222;HASLS21251202222;SVR3L;42;2;HCM;JAKARTA;CIF;TT; 1.870,00 ; 78.540,00 ;-; AGRI ;-;-;01/01/2026;74 2101 1113;06/01/2026;;;;;;;;;;;;;
79;VITRY;01/PD-VME/2026;-;;EBKGV0000287  ;SLHPHGDK8351;RSS1;20,16;1;DAD;GDANSK;FOB;TT; 1.940,00 ; 39.110,40 ;-; VIETTIN ;-;-;17/01/2026;53 3579 6373;15/01/2026;;;;;;;;;;;;;
80;JK;LTC2025/PD-JK/NOV;3;4100013238;DADF13121900;AP-26EX0052;SVR10  ;100,8;5;DAD;CHENNAI;FOB;DP; 1.710,00 ; 172.368,00 ;155131,2;TP;19/01/2026;08/01/2026;15/01/2026;53 3583 8944;13/02/2026;;;;;;;;;;;;;
81;GRI;06/PD-GRI/2025;2;R6891;DADG00442500;ONEYDADG00442500;SVR10  ;63;3;DAD;COLOMBO;FOB;LC 90 ngŕy; 1.885,00 ; 118.755,00 ;106879,5; VIETTIN ;16/01/2026;16/01/2026;15/01/2026;17 3897 3482;;;;;;;;;;;;;;
82;JK;LTC2025/PD-JK/NOV;5;4100013238;DADF13343800;AP-26EX0064;SVR10  ;120,96;6;DAD;CHENNAI;FOB;DP; 1.710,00 ; 206.841,60 ;186157,44;TP;28/01/2025;12/01/2026;25/01/2025;32 2035 7103;12/02/2026;;;;;;;;;;;;;
83;JK;LTC2025/PD-JK/DEC;1;4100013382;DADG00110400;AP-26EX0076;SVR10  ;100,8;5;DAD;CHENNAI;FOB;DP; 1.709,50 ; 172.317,60 ;155085,84;TP;28/01/2026;13/01/2026;25/01/2025;54 9677 8556;23/02/2026;;;;;;;;;;;;;
84;ATC;LTC2024/PD-ATC-AP/NOV;4;5200006885;238500205312;TC826010151N;GRADE 10;120,96;6;DAD;GANGAVARAM ;FOB;DP; 2.009,27 ; 243.041,30 ;218737,1693;BIDV;22/01/2026;22/01/2026;20/01/2026;37 9347 6761;05/02/2026;;;;;;;;;;;;;
85;JK;LTC2025/PD-JK/DEC;3;4100013382;DADG00336700;AP-26EX0105;SVR10  ;100,8;5;DAD;CHENNAI;FOB;DP; 1.709,50 ; 172.317,60 ;155085,84;TP;06/02/2026;20/01/2026;04/02/2026;35 2691 6072;06/03/2026;;;;;;;;;;;;;
86;ATC;"LTC2024/PD-ATC-EOU/NOV.A
";1;5200006318;7265936170;GLX260121;GRADE 10;120,96;6;DAD;NHAVA;FOB;DP;2.009,27; 243.041,30 ;218737,1693;EXIM;28/01/2026;29/01/2026;25/01/2026; 54 0182 4853;09/02/2026;;;;;;;;;;;;;
87;JK ;LTC2025/PD-JK/DEC;2;4100013382;DADG00335600;AP-26EX0107;SVR10;120,96;6;DAD;CHENNAI;FOB;DP; 1.709,50 ; 206.781,12 ;186103,008;BIDV;06/02/2026;06/02/2026;04/02/2026;63 2820 4890;23/02/2026;;;;;;;;;;;;;
88;ATC;LTC2024/PD-ATC-EOU/NOV.A;2;5200006318;SUDUDAGTICAA0028;VWFE26010027;GRADE 10;120,96;6;DAD;NHAVA;FOB;DP; 2.009,27 ; 243.041,30 ;218737,1693;EXIM;06/02/2026;06/02/2026;04/02/2026;62 8492 9604;24/02/2026;;;;;;;;;;;;;
89;JK ;LTC2025/PD-JK/DEC;4;4100013383;DADG01727500;AP-26EX0246;SVR10  ;100,8;5;DAD;CHENNAI;FOB;DP; 1.709,50 ; 172.317,60 ;155085,84;TP;23/02/2026;02/02/2026;15/02/2026;78 5532 0760;24/03/2026;;;;;;;;;;;;;
90;JK ;LTC2025/PD-JK/DEC;5;4100013383;DADG01728600;AP-26EX0245;SVR10  ;100,8;5;DAD;CHENNAI;FOB;DP; 1.709,50 ; 172.317,60 ;155085,84;TP;24/02/2026;04/02/2026;15/02/2026;78 5532 0760;19/03/2026;;;;;;;;;;;;;
91;ATC;LTC2024/PD-ATC-EOU/DEC;1;5200006319;7265936290;GLX260203;GRADE 10;120,96;6;DAD;NHAVA;FOB;DP; 1.924,10 ; 232.739,14 ;209465,2224;EXIM;06/02/2026;06/02/2026;05/02/2026;66 9444 7325;24/02/2026;;;;;;;;;;;;;
92;ATC;LTC2024/PD-ATC-EOU/DEC;2;5200006319;7266340030;GLX260206;GRADE 10;120,96;6;DAD;NHAVA;FOB;DP; 1.924,10 ; 232.739,14 ;209465,2224;TP;23/02/2026;13/03/2026;15/02/2026;87 3305 8095;13/03/2026;;;;;;;;;;;;;
93;ATC;LTC2024/PD-ATC-EOU/DEC;3;5200006319;DADG01627400;TC826020517N;GRADE 10;120,96;6;DAD;NHAVA;FOB;DP; 1.924,10 ; 232.739,14 ;209465,2224;TP;25/02/2026;14/03/2026;15/02/2026;14 2853 9593;13/03/2026;;;;;;;;;;;;;
94;INDO;01/PD-AIC/2026/CI;-;-;BC8QC26000123;GLX260208;SVR3L;42;2;CHULAI;JAKARTA;CIF;T/T; 1.970,00 ; 82.740,00 ;-;AGRI;26/02/2026; - ;14/02/2026;54 5175 3576;03/03/2026;;;;;;;;;;;;;
95;INDO ;HA20260004;-;-;BC8QC26000121;BC8QC26000121;SVR3L;42;2;CHULAI;JAKARTA;FOB;T/T; 2.030,00 ; 85.260,00 ;-;AGRI;27/02/2026; - ;14/02/2026; 54 5175 3576 ;04/03/2026;;;;;;;;;;;;;
96;INDO ;HA20260005;-;-;BC8QC26000125;BC8QC26000125;SVR3L;42;2;CHULAI;JAKARTA;CIF;T/T; 2.030,00 ; 85.260,00 ;-;AGRI;27/02/2026; - ;14/02/2026;72 1551 2183;05/03/2026;;;;;;;;;;;;;
97;PT AYUMAS;HA20260003;-;-;DADG01953600;ONEYDADG01953600;SVR3L;21;1;DAD;BELAWAN;CIF;T/T; 2.020,00 ; 42.420,00 ;-;ARGI;24/02/2026; - ;15/02/2026;89 4303 0611;14/02/2026;;;;;;;;;;;;;
98;PT AYUMAS;HA20260008;-;-;BC8QC26000131;C8QCB2600013101;SVR3L;21;1;CHULAI;JAKARTA;CIF;T/T; 2.130,00 ; 44.730,00 ;-;ARGI;24/02/2026; - ;14/02/2026;89 4303 0611;14/02/2026;;;;;;;;;;;;;
99;UKKO;HA20260007;-;-;YMJAI493335198;YMJAI493335198;RSS3;20,16;1;DAD;KEELUNG;CIF;T/T; 2.040,00 ; 41.126,40 ;-;UO;25/02/2026; - ;14/02/2026; 36 6148 3092 ;12/02/2026;;;;;;;;;;;;;
100;ATC;LTC2024/PD-ATC-EOU/DEC;4;5200006319;DADG01629600;TC826020603N;GRADE 10;120,96;6;DAD;NHAVA;FOB;DP; 1.924,10 ; 232.739,14 ;209465,2224;TP;27/02/2026;11/02/2026;24/02/2026;87 3305 8095;21/03/2026;;;;;;;;;;;;;
101;PROCHEM;01/PD-PI/2026;1;-;266126166;VNSE26020283;RSS3;21;1;DAD;TURKEY;FOB;DP; 2.000,00 ; 42.000,00 ;-;VIETIN;02/03/2026; - ;22/02/2026;;;;;;;;;;;;;;;
102;ATC;LTC2024/PD-ATC-SEZ/OCT;1;5200006321;DADG02268600;DHHP26030001;GRADE 10;141,12;7;DAD;CHENNAI;FOB;DP; 1.950,78 ; 275.294,07 ;247760;TP;23/03/2026;23/02/2026;17/03/2026; 38 9151 4303 ;;;;;;;;;;;;;;
103;GOUTAM;HA20260013;-;-;DADG02146800;ONEYDADG02146800;SVR3L;19,2;1;DAD;NHAVA;FOB;DP; 2.140,00 ; 41.088,00 ;36979,2;VIETIN;02/03/2026;12/03/2026;24/02/2026; 16 4407 8284 ;16/03/2026;;;;;;;;;;;;;
104;RALSON;HA20260002;-;4400000454;DADG02239400;DNSA2602252;SVR10  ;105;5;DAD;NHAVA;FOB;DP; 1.860,00 ; 195.300,00 ;175770;EXIM;27/02/2026;24/02/2026;24/02/2026; 48 6705 3192;;;;;;;;;;;;;;
105;ATC;LTC2024/PD-ATC-SEZ/OCT;2;5200006321;SUDUDAMAACAA0015;GLX260224;GRADE 10;141,12;7;DAD;CHENNAI;FOB;DP; 1.908,62 ; 269.344,45 ;189000;TP;07/03/2026;25/02/2026;05/03/2026;83 6754 3586;21/03/2026;;;;;;;;;;;;;
106;PROCHEM;01/PD-PI/2026;2;-;266333366;VNSE26030011;6;60,48;3;DAD;AMBARLI;FOB;DP; 2.000,00 ; 120.960,00 ;-;VIETIN;07/03/2026; - ;01/03/2026;;;;;;;;;;;;;;;
107;VITRY ;HA20260012;-;-;238600068286;EGLV238600068286;SVL3L;19,2;1;DAD;MANILA;FOB;T/T; 2.125,00 ; 40.800,00 ;-;VIETIN;10/03/2026;-;05/03/2026;41 5456 7642;11/02/2026;;;;;;;;;;;;;
108;BRAZA;HA20260017;-;-;DADG01951400;ONEYDADG01951400;RSS3;21;1;DAD;NHAVA;CIF;DP; 2.190,00 ; 45.990,00 ;41390;VIETIN;12/03/2026;07/03/2026;05/03/2026;84 3313 7576;;;;;;;;;;;;;;
109;GOUTAM;HA20260015;-;-;SUDUDAMUNCAA0049;SSLDAMUNCAA0049;SVR10  ;21;1;DAD;MUNDRA;FOB;T/T; 1.960,00 ; 41.160,00 ;37040;VIETIN;12/03/2026;07/03/2026;05/03/2026;;;;;;;;;;;;;;;
110;VITRY ;HA20260010;-;-;JXDAD26020344;SITGDATA073100;SVR3L;38,40;2;DAD;QINGDAO;FOB;T/T; 2.115,00 ; 81.216,00 ;-;VIETIN;12/03/2026;-;13/03/2026;"45 8670 7403
45 8670 9481";11/02/2026;;;;;;;;;;;;;
111;ATC;LTC2024/PD-ATC-EOU/DEC;5;5200006319;YMJAS493302173;VWFE26030027;GRADE 10;100,80;5;DAD;NHAVA;FOB;DP; 1.924,10 ; 193.949,28 ;;TP;25/03/2026;;21/03/2026;41 5923 6992;;;;;;;;;;;;;;
112;KM;HA20260009;-;-;7267438860;COAU7267438860 ;SVR3L;21;1;DAD;NHAVA;CIF;DP; 2.150,00 ; 45.150,00 ;32505;VIETIN;18/03/2026;18/03/2026;17/03/2026;25 8376 0292;;;;;;;;;;;;;;
113;PT AYUMAS;HA20260011;-;-;7267438660;COAU7267438660;SVR3L;21;;DAD;BELAWAN;CIF;TT; 2.130,00 ; 44.730,00 ;-;AGRI;18/03/2026;-;16/03/2026;;30/03/2026;;;;;;;;;;;;;
114;VITRY ;HA20260026;-;-;YMJAN493309138;YMJAN493309138;RSS1;20,16;1;DAD;RIGA;FOB;TT; 2.150,00 ; 43.344,00 ;;VIETIN;24/03/2026;;21/03/2026;64 2960 2174;;;;;;;;;;;;;;
115;PT ALPHEN;HA20260006;-;-;235600413469;"EGLV
235600413469";SVR3L;21;1;HCM;JAKARTA;CIF;TT; 2.030,00 ; 42.630,00 ;;AGRI;;;24/03/2026;;;;;;;;;;;;;;;
116;ATC;LTC2024/PD-ATC-EOU/DEC;6;5200006319;YMJAS493302174;VWFE26030031;GRADE 10;40,32;2;DAD;NHAVA;FOB;DP; 1.924,10 ; 77.579,71 ;;EXIM;24/03/2026;;21/03/2026;32 4338 0954;;;;;;;;;;;;;;
117;UKKO;HA20260022;-;26020062;DADG03025500;ONEYDADG03025500;SVR3L;38,4;2;DAD;JAKARTA;FOB;TTR; 2.230,00 ; 85.632,00 ;-;AGRI;;;;;30/03/2026;;;;;;;;;;;;;
118;GOUTAM;HA20260014;-;-;7267458660;MASC20260010;SVR3L;19,2;1;DAD; NHAVA SHEVA;FOB;10%TT+90%DP; 2.140,00 ; 41.088,00 ;;EXIM;;;;;;;;;;;;;;;;;;
119;ATC;LTC2024/PD-ATC-EOU/DEC;7;5200006319;SUDUDAGTICAA0030;;GRADE 10;100,8;5;DAD;NHAVA SHEVA;FOB;DP; 1.924,10 ; 193.949,28 ;;TP;;;;;;;;;;;;;;;;;;
120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
131;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
133;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ch?a l?y r?ng;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;?ă l?y cont;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;?ă ?óng hŕng xong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Tŕu ?ă ch?y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;?ă g?i ch?ng t? g?c;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Khách ?ă thanh toán;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
